,ActualSales,Sales
0,7115.0,6976.564073628361
1,5911.0,6763.121532467219
2,6760.0,7038.665464114112
3,7131.0,7650.588666749827
4,6997.0,5992.999411834248
5,4828.0,4641.270883889845
6,5241.0,4195.002771078842
7,3979.0,4596.698200703724
8,4505.0,4959.852793591101
9,4998.0,5651.32947617897
10,6720.0,6690.817485388156
11,7433.0,7396.459814378558
12,8057.0,6796.734164450456
13,6595.0,6576.029477314308
14,6925.0,6935.9907250036795
15,7401.0,7117.66083182125
16,5088.0,5910.3643278792915
17,4927.0,4915.038556235141
18,4290.0,4240.981844115515
19,5233.0,4608.873196144638
20,5545.0,5303.179158885793
21,6438.0,6204.515902066278
22,6594.0,6958.513683596946
23,8578.0,7618.295796551861
24,6881.0,6944.363511756962
25,6408.0,6679.989499219432
26,6465.0,6939.529617560017
27,6237.0,6926.218064592539
28,6144.0,5694.574220696426
29,5437.0,4877.26167832136
30,4366.0,4082.4707623284958
31,4416.0,4461.302346540881
32,4900.0,5188.720913390078
33,5011.0,5944.2597007203
34,5653.0,6606.179567662246
35,9276.0,7535.640837417017
36,6434.0,5870.594274156045
37,6962.0,5641.234711683398
38,7119.0,6281.966024690821
39,7520.0,6933.259767657901
