,ActualSales,Sales
0,8234.0,8940.255710316753
1,7462.0,8112.043389820214
2,7005.0,7363.594429447184
3,7677.0,7483.558122864055
4,5814.0,6418.64985921944
5,5068.0,4997.133222545179
6,4831.0,3622.809384936825
7,4858.0,4234.091133687404
8,4197.0,4771.418925406816
9,5240.0,5549.050341490645
10,6134.0,6160.659408324685
11,11023.0,9853.102502582042
12,9319.0,8584.934362979677
13,7236.0,7238.57986171749
14,7250.0,6601.072814271994
15,7877.0,7332.534026919278
16,5037.0,5550.433776694812
17,6329.0,5230.623461983194
18,4384.0,4129.466680120118
19,4833.0,4751.540741667604
20,5562.0,5252.26776200508
21,5523.0,5432.434264199188
22,5398.0,5969.110952209111
23,9890.0,9343.780042470586
24,7785.0,8052.037085038716
25,7644.0,8002.40063274837
26,6768.0,7548.545992417443
27,6030.0,7579.399007966617
28,5777.0,5643.782031585251
29,4860.0,5192.255701231755
30,4846.0,4192.70135531364
31,3890.0,4617.667692805857
32,4279.0,5056.47003899134
33,4138.0,5086.5289964990125
34,4712.0,5801.0594933863895
35,9528.0,9395.646192955111
36,7760.0,7922.415591046478
37,6917.0,7377.009351138078
38,6683.0,7089.726031642515
39,8227.0,7424.860762754552
