,ActualSales,Sales
0,6939.0,6886.644089905483
1,5624.0,6104.565014991699
2,5231.0,5422.002441832204
3,5847.0,5850.327360726324
4,3475.0,3200.2326196199174
5,3741.0,4271.878938275755
6,4221.0,4051.331236735363
7,4697.0,4671.467733116278
8,4648.0,4580.586648960132
9,4583.0,4261.0858238633455
10,2586.0,3309.945264668111
11,8172.0,7659.659432893723
12,6614.0,6759.531889088341
13,6111.0,6016.190257691728
14,5851.0,5695.583291066074
15,5385.0,5480.117577635408
16,3066.0,3234.864795734059
17,5283.0,5229.279489297313
18,4822.0,4783.383130467523
19,5167.0,5016.6074321973465
20,4555.0,4670.460322134441
21,5242.0,5154.23387663028
22,3704.0,3777.222530504525
23,7224.0,7453.269218015388
24,6776.0,6709.003381177407
25,6202.0,6153.392191892555
26,5313.0,5345.16921124655
27,4736.0,4892.811144565303
28,2903.0,2724.3539040633696
29,4640.0,4642.949507494099
30,4158.0,3540.674563506267
31,3068.0,3357.0317331599763
32,4406.0,3568.3866674507017
33,3901.0,3832.962539150146
34,2632.0,2161.3313433693856
35,6017.0,5887.908395996323
36,6252.0,5712.895097720351
37,5924.0,5571.058988898052
38,5610.0,5403.320858864651
39,6096.0,5848.485835846354
