,ActualSales,Sales
0,10496.0,9099.65071081929
1,9183.0,9289.58901269468
2,9337.0,8412.976416664782
3,8177.0,7906.187708765542
4,4694.0,3942.8180677817195
5,6437.0,8362.275360052978
6,6944.0,6487.1676913236315
7,7397.0,6006.199811309149
8,6907.0,6688.454123298561
9,6578.0,7052.251191639324
10,4952.0,5778.722571831414
11,11740.0,10675.756709475274
12,10450.0,9604.237540470769
13,9211.0,8812.854906091332
14,8669.0,8735.364612647201
15,9039.0,8250.446722745059
16,4655.0,4241.235846461269
17,7548.0,7574.379460986767
18,6475.0,6647.377694053858
19,6414.0,5990.203983275122
20,7023.0,6397.736971519659
21,6575.0,6668.811051102316
22,4668.0,5095.803455681672
23,10310.0,10324.838838733354
24,9319.0,9272.825584886896
25,8472.0,8404.288155729912
26,8820.0,8399.14507783943
27,7106.0,8031.332195618498
28,5098.0,4125.156559874679
29,7481.0,7183.983588767549
30,6144.0,6528.2641035664265
31,5783.0,5921.357450963397
32,7025.0,6223.049520505335
33,6187.0,6574.108758151557
34,4085.0,5165.726729989921
35,11498.0,10539.16186403886
36,9990.0,9119.250817562091
37,8855.0,8471.100927983385
38,9260.0,9111.383090072974
39,8913.0,9133.307133291248
